author,cited by
"Hill, K.","Alcantara, A."
"Mosley, W.","Alcantara, A."
"Choe, M.","Alcantara, A."
"Haveman, R.","Ogena, A."
"Wolfe, B.","Ogena, A."
"Raymundo, C.","Ogena, A."
"Bumpass, L.","Ogena, A."
"Cherlin, A.","Ogena, A."
"Driscoll, A.","Ogena, A."
"Garfinkel, I.","Ogena, A."
"Robins, P.","Ogena, A."
"Ventura, S.","Ogena, A."
"Kreyenfeld, M.","Ogena, A."
"Lappegard, T.","Ogena, A."
"Keizer, R.","Ogena, A."
"Manlove, J.","Ogena, A."
"Medina, B.","Ogena, A."
National Statistics Office,"Ogena, A."
"Ribar, D.","Ogena, A."
"South, S.","Ogena, A."
World Health Organization,"Ogena, A."
"Wu, L.","Ogena, A."
"Choe, M.","Arabit, C."
"Marquez, M.","Arabit, C."
"De Vries, H.","Arabit, C."
"Foxcroft, D.","Arabit, C."
"Lowe, G.","Arabit, C."
"Hawkins, J.","Arabit, C."
"Jackson, C.","Arabit, C."
"Tan, A.","Arabit, C."
World Health Organization,"Arabit, C."
Berja B.,"Arellano, M."
"Kabamalan, M.","Arellano, M."
"Ogena, N.","Arellano, M."
"Casterline, J.","Arellano, M."
"Marquez, M.","Arellano, M."
"Raymundo, C. M.","Arellano, M."
"Barnes, C.","Bhattarai, B."
"Oliver, M.","Bhattarai, B."
Ministry of Health,"Bhattarai, B."
Population and Housing Census of Bhutan,"Bhattarai, B."
Royal Government of Bhutan,"Bhattarai, B."
United Nations.,"Bhattarai, B."
Arugaan ng Kalakasan.,"Borja, L."
"Perez, A.","Borja, L."
"Bongaarts, J.","Borja, L."
"Dixon-Mueller, R.","Borja, L."
"Ellsberg, M.","Borja, L."
"Guerrero, S.","Borja, L."
"Koenig, M.","Borja, L."
National Statistics Office,"Borja, L."
"Stephenson, R.","Borja, L."
Department of Health,"Castillo, P."
"Elder, Glen H. Jr.","Castillo, P."
"Fergusson, D. M.","Castillo, P."
"Marquez, M. P. N.","Castillo, P."
National Statistics Office,"Castillo, P."
Macro International Inc.,"Castillo, P."
Philippine Statistics Authority,"Castillo, P."
United Nations Population Fund,"Castillo, P."
"Cabigon, J.","Cruz, C."
"Mejia-Raymundo, C.","Cruz, C."
"Herrin, A.","Cruz, C."
"Reolalas, A.","Cruz, C."
"Islam, M.","Cruz, C."
Macro International Inc.,"Cruz, C."
"Cruz, G.","Cruz, C."
"Ogena, N.","Cruz, C."
"Perez, A.","Cruz, C."
Central Statistical Organization,"Choda, J."
"Lipton, M.","Choda, J."
"Deshingkar, P.","Choda, J."
"Skeldon, R.","Choda, J."
"Stark, O.","Choda, J."
"Zhao, Y.","Choda, J."
"Bengtson, V.","Cruz, G."
"Schroots, J.","Cruz, G."
"Brouard, N.","Cruz, G."
"Cabigon, J. V.","Cruz, G."
"House, J. S.","Cruz, G."
"Kinsella, K.","Cruz, G."
"Ofstedal, M.","Cruz, G."
"Liang, J.","Cruz, G."
"Laditka, S. B.","Cruz, G."
"Nusselder, W. J.","Cruz, G."
"Ofstedal, M. B.","Cruz, G."
"Cassel, C.","Cruz, G."
"Riley, M. W.","Cruz, G."
"Robins, J. M.","Cruz, G."
"Romieu, I.","Cruz, G."
"Schoen, R.","Cruz, G."
"Silverstein, M.","Cruz, G."
United Nations,"Cruz, G."
"Yates, F. E.","Cruz, G."
"Benton, L.","Cruz, G."
"Chayovan, N.","Cruz, G."
"Punpuing, S.","Del Mundo, M."
"Guest, P.","Del Mundo, M."
"Asis, M.","Del Mundo, M."
"Battistella, G.","Del Mundo, M."
"Bradatan, C.","Del Mundo, M."
"Brass, W.","Del Mundo, M."
"Casterline, J.","Del Mundo, M."
"Davis, K.","Del Mundo, M."
"Easterlin, R.","Del Mundo, M."
"Palmore, J.","Del Mundo, M."
"Lindstrom, D.","Del Mundo, M."
"Saucedo, G.","Del Mundo, M."
"Rele, J.","Del Mundo, M."
"Shapiro, D.","Del Mundo, M."
"Zaba, B.","Del Mundo, M."
"United Nations, Department of Economic and Social Affairs, Population Division","Del Mundo, M."
World Bank,"Del Mundo, M."
"Zablan, Z.","Del Mundo, M."
"Arriaga, E.","Dorjee, T."
"Luther, N.","Dorjee, T."
"Sahu, D.","Dorjee, T."
"Chard, J.","Dorjee, T."
"Streatfield, K.","Dorjee, T."
"Bicego, G.","Dorjee, T."
"Caldwell, J.","Dorjee, T."
"Da Vanzo, J.","Dorjee, T."
"Ware, H.","Dorjee, T."
"Hill, K.","Dorjee, T."
"Madise, N.","Dorjee, T."
Royal Government of Bhutan,"Dorjee, T."
"Palloni, A.","Dorjee, T."
"Retherford, R.","Dorjee, T."
"Thapa, S.","Dorjee, T."
"Planning Commission, Royal Government of Bhutan","Dorjee, T."
"Ruzika, L.","Dorjee, T."
"Kanitkar, T.","Dorjee, T."
"Zablan, Z.","Dorjee, T."
"United Nations, Economics and Social Affairs","Dorji, T."
"Ajzen, I.","Fonacier, M."
"Kabamalan, M.","Fonacier, M."
"Berja, C.","Galay, C. Jr."
"Cruz, G.","Galay, C. Jr."
"Jocano, F.","Galay, C. Jr."
"Anonuevo, A. T.","Gocatek, C."
"Becker, G. S.","Gocatek, C."
"Duncan, O. D.","Gocatek, C."
"Dizon-Anonuevo, E.","Gocatek, C."
"Hodge, R. W.","Gocatek, C."
"Featherman, D. L.","Gocatek, C."
"Treiman, D. J.","Gocatek, C."
"Ganzeboom, H.B.G.","Gocatek, C."
"Hugo, G.","Gocatek, C."
International Lobour Organization,"Gocatek, C."
"Kelly, P.","Gocatek, C."
"Mangahas, M. A. A.","Gocatek, C."
"Massey, D. S.","Gocatek, C."
"Wilson, G.","Gocatek, C."
"Ogena, N. B.","Gocatek, C."
"Pratt, G.","Gocatek, C."
"Tigno, J. V.","Gocatek, C."
"Demeny, P.","Grande, M."
"Hill, K.","Grande, M."
Philippine Statistics Authority,"Grande, M."
WHO,"Grande, M."
UN Population Division,"Grande, M."
National Epidemiology Center,"Guzman, M."
"Orbeta, A.","Guzman, M."
Philippine Statistics Authority,"Guzman, M."
"Wang, W. S.","Guzman, M."
"Islam, M. A.","Landicho, N."
"Chowdury, R. I.","Landicho, N."
Department of Health,"Landicho, N."
International Family Planning Perspectives,"Landicho, N."
"Rosenfield, A.","Landicho, N."
Macro International Inc.,"Landicho, N."
"Perez, A. Y.","Landicho, N."
"Singh, S.","Landicho, N."
WHO,"Landicho, N."
UNFPA,"Landicho, N."
"Becker, G.","Lavado, J."
Department of Education.,"Lavado, J."
National Statistics Office Philippines.,"Lavado, J."
"Orbeta, A.","Lavado, J."
"Sumagaysay, M.","Lavado, J."
"Benjamins, M.","Lavares, A."
"Glass, T.","Lavares, A."
"George, L.","Lavares, A."
"Braam, A.","Lavares, A."
"Beekman, A.","Lavares, A."
"Lelkes, O.","Lavares, A."
"Coleman, P.","Lavares, A."
"Durkheim, E.","Lavares, A."
"Ferraro, K.","Lavares, A."
"Taylor, R.","Lavares, A."
"Markides, K.","Lavares, A."
"McFadden, S.","Lavares, A."
"Traphagan, J.","Lavares, A."
"Strawbridge, W.","Lavares, A."
"Wink, P.","Lavares, A."
"Dillon, M.","Lavares, A."
"Bumpass, L.","Lotivio, Z."
"Cherlin, A.","Lotivio, Z."
"Stinner, W.","Lotivio, Z."
"Teachman, J.","Lotivio, Z."
"Marquez, M.","Lotivio, Z."
"Singh, S.","Lotivio, Z."
"George, L. K.","Mallari, R."
Cruz G. T.,"Mallari, R."
"Lavares, M.","Mallari, R."
"Suh, E.","Mallari, R."
"Havighurst, R. J.","Mallari, R."
"Kannisto, V.","Mallari, R."
"Ofstedal, M. B.","Mallari, R."
"Natividad, J. N.","Mallari, R."
"Pinquart, M.","Mallari, R."
"Soerensen, S.","Mallari, R."
"Veenhoven, R.","Mallari, R."
"Watkins, S.","Namgay, P."
"Brass, W.","Namgay, P."
"Islam, M.","Namgay, P."
"Moultri, T.","Namgay, P."
