Author
Crimmins, E.
Saito, Y.
Crimmins, E. M.
Saito, Y.
Hayward, M. D.
Crimmins, E.
Saito, Y.
Ingegneri, D.
Cruz, G.
Berja, C.
Deeg, D. J.
Deeg, D.
Verbrugge. L.
Jagger, C.
De Guzman, E.
Magracia, M. L.
Zablan, Z. C.
Department of Social Welfare
Development and Development Academy of the Philippines
Doblhammer, G.
Kytir, J.
Domingo, L. J.
Marquez, M.
East-West Center
Eberhardt, M. S.
Ingram, D. D.
Makuk, D. M.
Eitzen, S. D.
Elder, G. Jr.
Freedman, V. A.
Martin, L. G.
Fries, J.
Fries, J. F.
Glass, T. A.
Gruenberg, E. M.
Ham-Chande, R.
Haveman, R. H.
Wolfe, B.
Hayward, M. D.
Heron, M.
Hayward, M. D.
Peinta, A. M.
McLaughlin, D. K.
Hermalin, A. I.
Herrin, A.
Hogan, D.
Eggebeen, D.
Clegg, C.
House, J. S.
Kessler, R. C.
Herzog ,A. R.
House, J. S.
Lepkowski, J. M.
Kinney, A. M.
Idler, E. L.
Benyami, Y. 
Ikkink, K. K.
van Tilburg, T.
Knipscheer, K.
Jagger, C.
Jagger, C.
Katz, S. A.
Ford, A.
Moskowitz, R.
Jackson, B.
Jaffe, M.
Kinsella, K.
Velkoff, V.
Knodel, J.
Ofstedal, M.
Hermalin, A.
Kramer, M.
Liang, J.
Liu, X.
Gu, S.
Lamb, V. L.
Land, K. C.
Guralnik, J. M.
Blazer, D. G.
Laditka, S. B.
Hayward, M. D.
Laditka, S. B.
Wolf, D. A.
Lawton, M. P.
Brody, E.
Lieve, A.
Brouard, N.
Li, M.
Liu, X.
Liang, J.
Muramatsu, N.
Sugisawa, H.
Manton, K. G.
Gu, X.
Manton, K. G.
Corder, L. S.
Staffard, E. 
Manton, K.
Staliard, E.
Tolley, H. D.
Manton, K. G.
Martin, L. G.
Martin, L. G.
Kinsella, K.
Mathers, C. D.
Robins, L. M.
Wikins, R.
Medina, B.
Melinchok, M. D.
McEnvoy, K.
Stewart, A.
Rimkus, A.
Yeager, A.
Minois, G.
Morgan S. P.
Hirosima, K.
Mulhorn, K. A.
Murray, C. J.
Lopez, A. D.
Myers, G.
Lamb, V.
Agree, E.
Nagi, S. Z.
Nagi, S. Z.
Nagi, S. Z.
National Statistics Office
National Statistics Office
National Statistics Office
National Statistics Office
Natividad, J.
Natividad, J.
Cruz, G.
Natividad, J.
Cruz, G.
Nusselder, W. J.
Looman, C.
Nusselder, W. J. 
Ofstedal, M. B.
Natividad, J.
Ofstedal, M. B.
Zimmer, Z.
Cruz, G.
Chan, A.
Lin, Y. H.
Olshansky, S. J.
Rudberg, M.
Carnes, B.
Cassel, C.
Brody, J.
Olshansky, J.
Cames, B.
Cassel, C.
Olshansky, S.
Omran, A.
Orbeta, A.
Peck K. M.
Coward, R. T.
Petersen, W.
Riley, M. W.
Foner, A.
Riley, J.
Riley, M. W.
Robins, J. M.
Romieu, I.
Michel, J. P. 
Robine, J. M.
Nusselder, W.
Jagger, C.
Robine, J. M.
Romieu, I.
Robins, J. M.
Mathers, C.
Robine, J. M.
Ritchie, K.
Rogers, R. G.
Rogers, A.
Belanger, A.
Rogers, A.
Rogers, R. G.
Belanger, A.
Rogers, R. G.
Rogers, A.
Belanger, A.
Rogers, A.
Ross, C.
Wu, C.
Saito, Y.
Qiao, X.
Jitapunkul, S.
Saito, Y.
Crimmins, E.
Hayward, M.
Schoen, R.
Woodrow, K.
Schoen, R.
Schroots, J.
Yates, F.
Shankardass, M. K.
Sihvonen, A.
Kunst, A.
Lahelma, E.
Valkonnen, T.
Mackenback, J.
Silverstein, M.
Silverstein, M.
Bengtson, V.
Soda, O.
Spector, W. D.
Fleishman, J. A.
Sullivan, D. F.
Uback, M. L. 
Umberson, D. 
United Nations
United Nations
Verbrugge, L. M.
Jette, A.
Verbrugge, L. M.
Verbrugge, L. M.
Verbrugge, L. M.
Waidman. T.
Bound, J.
Schoenbaum, M.
Wiener, J.
Hartley, R.
Clark, R.
Van Nostrand, J.
Yates, F. E.
Benton, L.
Yates, F. E.
Benton, L.
Zimmer, Z.
Chayovan, N.
Lin, H. S.
Natividad, J.
Zimmer, Z.
Natividad, J.
Ofstedal, M.
Lin, H.
Zimmer, Z.
Natividad, J.
Lin, H.S.
Chayovan, N.
Zimmer, Z.
Liu, X.
Hermann, A.
Chuang, C.
Abas, M.
Punpuing, S.
Jiraprarnukpitak, T.
Guest, P.
Leese, M.
Adhikari, R.
Jampaklay, A.
Chamratrithirong, A.
Agadjanian, V.
Yabiku, S.
Cau, B.
Alburo, F.
Abella, D.
Amouzou, A.
Becker, S.
Andorka, R.
Asis, M. 
Asis, M. 
Battistella, G.
Conaco, C.
Battistela, G.
Conaco, C.
Basu, A.
Bbaale, E.
Mpuga, P. 
Becker, G.
Becker, G. S. 
Birdsall, N.
Cochrane, S. 
Bongaarts, J.
Bongaarts, J.
Potter, R.
Bongaarts, J.
Potter, R.
Bradatan, C. 
Bradatan, C.
Brand, J.
Davis, D. 
Brass, W. 
Bryant, J. 
Bustamante, J. 
Cabegin, E.
Clifford, D. 
Conaco, C.
Battistella, G.
Cortes, R. 
Costello, M.
Casterline, J. 
Cruz, G.
Cruz, G.
Laguna, E.
Cruz, G.
Davis, K.
Blake, J. 
Davis, K.
Department for International Development
De Glind, H.
De Guzman, E.
De La Paz, M.
Colson, L.
Denscombe, M. 
Dtuigo, N. 
Easterlin, R.
Easterlin, R.
Crimmins, E. 
Ferré, C.
Findley, S.
Gayen, K.
Genereux, A. 
Goldstein, S.
Mayer, K.
Gunasekaran, S.
Palmore, J. 
Hobbs, F.
Bogue, D.
International Association of Multidisciplinary Research
Jingzhong, Y.
Lu, P.
Kulu, H.
Lai, S.
Tey, N.
Leamsuwan, T. 
Leon, A.
Li, S.
Wang, W.
Lindstrom, D.
Saucedo, G.
Lindstrom, D.
Saucedo, G.
Lux, M.
Sunega, P. 
Mast, C. 
Mahinchai, M.
Marini, M.
Martin, T.
Juarez, F.
Massey, D.
Mullan, B. 
McCrary, J.
Royer, H.
Millman, S.
Potter, R.
Moultrie, T. 
Moultrie, T. 
Moultrie, T.
National Statistics Office
MI
National Statistics Office
ICE Macro
National Statistics Office
National Statistics Office
Department of Health
Macro International Incorporated
National Statistics Office
National Statistics Office
Orbeta, A.
Pernia, E.
Palmore, J.
Philippine Overseas Employment Administration
Philippine Statistics Authority
ICE International
Potter, R.
Kobrin, F.
Qin, M.
Punpuing, S.
Guest, P.
Prasartkul P.
Quinta, E.,
Perez, J.
Rele, J. 
Rele, J.
Kanitkar, T.
Reyes, M.
Sassen, S.
Saunders, M.
Lewis, P.
Thornill, A.
Scalabrini Migration Center
Shapiro, D.
Tambashe, B.
Shapiro, D.
Singh, S.
Casterline, J. 
Singh, N.
Singh, R.
Kumar, R.
Padaria, R.
Singh, A.
Varghese, N.
Singley, S.
Landale, N.
Sloggett, A.
Brass, W.
Eldridge, S.
Timaus, I.
Ward, P.
Zaba, B. 
Snyder, A.
McLaughlin, D. 
Finderis, J.
Tamura, Y.
Booth, A. 
Ullah, M. 
United Nations
United Nations
United Nations
United Nations
United Nations
Van de Glind, H.
Van de Walle, F. 
Virola, R. 
Weerasinghe, D.
Parr, N. J.
World Bank
World Bank
Yang, Q.
Zaba, B.
Pisani, E.
Slayrnaker, E.
Zablan, Z.
Zablan, Z.
Zlotnick, H. 
Zosa, V.
Orbeta Jr., A.
Abrahams, K.
Adestunji, J.
Afzal, M.
Khan, Z.
Chaudry, M. 
Alaka M.
Kaushik, B.
Alam, I.
Cleland, J. 
Arriaga, E. 
Arriaga, E. 
Arvind, P.
Minja K.
Luther, N.
Sahu, D.
Chard, J. 
Bleek, W.
Berton, F.
Rent, G.
Bhuiyat, A.
Streatfield, K.
Boerma, J.
Bicego, G.
Bonte, M.
Van Ballen, H. 
Bouvier, L.
Bumpass, L.
Rindfuss, R.
Palmore, J.
Cabigon, J.
Cabigon, J.
Cabigon, J.
Caldwell, J. 
Caldwell, J. 
Cantrelle, P.
Leridon, H.
Casterline, J.
Cooksey, E.
Ismail, A.
Chakraborty, N.
Sharmin, S.
Islam, M.
Cleland, J.
Safher, Z. 
Cleland, J.
Kaulinann, G. 
Coals, A. 
Costello, M.
Das Gupta, M.
Da Vanzo, J.
Butz, W.
Habicht, J.
Da Vanzo, J. 
Debpuur, C.
Wontuo, P.
Akazili, J.
Nyarko, P. 
Desai, S.
Alva, S. 
Dreze. J.
Sen, A.
D'Souza, S.
Bhuiya, A. 
Dyson, T. 
Forste, R.
Gemperli, A.
Vounatsou, P.
Kleinschmidt, I.
Bagayoko, M.
Lengeler, C.
Smith, T. 
Gubhaju, B. 
Gubhaju, B.
Streatfield, K.
Majumder, A. 
Gunasekran, S.
Ware, H.
Heligman, L. 
Hill, K.
Hill, K.
Bicego, G.
Mahy, M. 
Mustafa, H.
Odimegwu, C. 
Hobcraft, L. 
Hobcraft, J.
McDonald, J.
Rustein, S.
Hobcraft, J. 
Hobcraft, J.
McDonald, J.
Rutstein, S. 
Hobcraft, J.
McDonald, J.
Rutstein, S.
Hosseinpoor, A.
Mohammad, K.
Majdzadeh, R.
Naghavi, M.
Abolhassani, F.
Sousa, A.
Speybroeck, N.
Jamshidi, H.
Vega, J. 
Barnum, H.
Barlow, R. 
Irfan, M.
Beise, J.
Voland, E.
Jain, A.
Vermunt, J.
Moors, G. 
Knodel, J.
Hermalin, A.
Kovsted. J.
Portner, C.
Tarp, F. 
Madise, N.
Madise, N.
Diamond, I. 
Maglad, N.
Manda, S.
Martin. L. G.
Trussell, J.
Salvail, F.
Shah, N.
Masuy-Strwoobant, G.
Ministry of Health and Education
Royal Government of Bhutan
Morris, D.
Mosley, W.
Chen, L.
Mutunga, C. 
Okpala, A.
Felix, O.
Pender, G.
Palloni, A. 
Palloni, A.
Tiena, M. 
Palloni A. 
Pandey. A.
Cheo, M.
Luther, N.
Sahu, D.
Chard, J. 
Pavalavalli, G.
Ramesh, B. 
Pebley, A.
Stupp, P.
Pelletier, D.
Deneke, K.
Kidane, Y.
Haile, B.
Negussie, F. 
Popkin, B.
Retherford, R.
Cho, M.
Retherford, R.
Choe, M.
Thapa, S.
Gubhaju, B.
Royal Government of Bhutan
Ministry of Health, Royal Government of Bhutan
Bureau, Royal Government of Bhutan
Planning Commission, Royal Government of Bhutan
Planning Commission, Royal Government of Bhutan
Rutstein, S. 
Ruzika, L.
Kanitkar, T. 
Ruzika, L.
Kanitkar, T. 
Sastry, N.
Schultz, P.
Setty-Venugopal, V.
Upadhyay, U.
Sharipo, S.
Schlesinger, E.
Nesbitt, R. Jr. 
Shryock. H.
Siegel, J.
Steele, F. 
Kishor, S.
Parasuraman, S. 
Tempa, S.
Thapa, S.
Masudi, U.
United Nations
United Nations
United Nations
United Nations
United Nations
United Nations
Venkatarcharya K.
Teklu, T.
Ware, H. 
Winikofli B.
Wolpin, K.
Wrigley, E. 
Yamaguchi, K.
Zablan, Z. 
Zablan, Z. 
Anh, N. D.
Duong, B. L.
Van, H. N.
Asian Development Bank and Bhutan
Brugiavini, A.
Peracchi, F.
Cambois, E.
Robine, M. J.
Brouard, N.
Choden, P.
Chua, M.
Dauffenbach, C.
El-Huni, M.
Denu. B.
Tekeste, A.
Dorji. L.
Kinga, S.
Deiji, H.
Dorji, P.
Echebiri, R.
Fitzenberger, B.
Schnabel, R.
Wunderlich, G.
Garcia, R.
Giacchino, L
Pessino, C.
Hussmanns, R.
Kpedepo. G.
Kpedepo, G.
Krishnan, P.
Linacre, S.
Lsengard, B.
Magidu, N.
Maurer-Fazio, M.
Connelly, R.
Lan, C.
Tang, L.
Mueller, R.
Ohadike, P.
Tesfaghiorghis, H.
Pabilonia, S.
Palamuleni, M.
Pastore, F.
Pem, T. 
Rahman, R.
RCSC.
Ree, A.
Gray, W.
Reyes, D.
Richen, K.
Royal Government of Bhutan, Ministry of Labour and Human Resources
Royal Government of Bhutan, Ministry of Labour and Human Resources
Royal Government of Bhutan, Ministry of Labour and Human Resources
Sackey, H.
Sallenh, A. 
Salvador, R.
Killinger, N.
Schreiner, F.
Knutson
Shryock, H.
Siegel, J.
Tshering, N.
United Nations
United Nations
Ajzen, I.
Allyn, D.
Beck, U. 
Bongaarts, J.
Byno, L. H.
Cauilan, N.
Cruz, C. I.
Chaves, C.
Chiao, C. 
Yi, C. C.
Choe, M. 
Lin, H.
Concepcion, M. B.
Flieger, W. 
Crockett, L. I. 
Raffaelli, M.
Moilanen, K. L.
Ra, M.
Cruz, C. P.
Mallari, R. B. C.
Cruz, G.
Cvetkovich G. 
Grote, B.
Davis, K.
Blake, J.
De Guzman, E. A.
De Jose, E.
Demographic Research and Development Foundation
University of the Philippines Population Institute
Department of Health
Derogatis, L. R.
Diop-Sidibe, N.
Escoffier, I.
Festinger, L.
Field, A.
Finer, L. B.
Fischbein, M.
Ajzen, I.
Fisher, T. D.
Hall, R. G.
Flores, H.
Frias, N.
Gervacio, R.
Giddens, A.
Guerra, V. M.
Gouveia, V. V.
Sousa, D. M.
Lima, T. J.
Freires, L. A.
Harding, D. I.
Iencks, C.
Hendrick, S.
Hendrick, C.
Hindin, I.
Hindin, M. I.
Jessor, R.
Costa, F.
lessor, S. L.
Donovan, I. E.
Joe, V. C.
Brown, C. R.
ones, R.
Kabamalan, M.
Kabamalan, M.
Kabamalan, M.
Casterline, I.
Kohlberg, L.
Lacson, R. S.
Theacharis, T. R.
Strack, R.
Sy, F. S.
Vincent, L. M.
Osteria, T. S.
Laguna, E.
Laner, M. R.
Laner, R. H.
Palmer, C. E. 
Lanuza, G. M.
Lei, H. E.
Levinson, D. I.
Huffman, P. E.
Macionis, J.
Manapol, M.
Mamas-Fernandez, R.
Maranell, G. 
Dodder, R.
Mitchell, D.
Marquez, M. N.
Medina, B.
Middendorp, C.
Brinkman, W.
Koomen, W. 
National Statistics Office
ICE Macro
Natividad, I. N.
Oakes, I. M.
Rossi, P. H.
Oljira, L.
Berhane, Y.
Worku, A.
Philippine Statistics Authority
ICE International.
Pingoi, A.
Rayburn, A.
Raymundo, C.
Raymundo, C.
Raymundo, C.
Cruz, G.
Raymundo. C.
Cruz, G.
Raymundo, C.
Domingo, L. I.
Xenos, P.
Reiss, I. L.
Reiss, I. L.
Reiss, I. L. 
Role, M.
Ryu, E.
Kyunghee, K.
Hyejin, K.
Sakran, G. F.
Salts, C. I.
Seismore, M. D.
Lindholm, B. W.
Ventura, E. R.
Cabigon, I.
Smith, T. A.
Scott, I.
Shaluhiyah, Z.
Small, S. A.
Luster, T. 
Smith, T. W.
Son, I.
Tabaco, R. P. 
Thomas, D. R. 
Thornton, A.
Camburn, D. 
Trueblood, K.
Hannon, R.
Hall, D. S.
Urbano-Batangan, T.
United Nations Development Programme
United States Agency for International Development
United Nations Educational and Scientific Cultural Organization
United Nations Population Fund
Amato, P.
Balk, D.
Raymundo, C.
Belsky, J.
Berja, C.
Kabamalan, M.
Blum, R.
Catan, L.
Dennison, C.
Coleman, J.
Clauson, C.
Weber, R.
Chao, R.
Chase-Lansdale, P.
Wakschlag, L.
Cole, L.
Hall, I.
Cruz, G.
Laguna, E.
Raymundo, C.
Dator-Bercilla, J.
De Guzman, E.
Diaz, S.
Doyle, A.
Morretti, M.
Brendgen, M.
Bukowski, W.
Elkin, E.
Elikington
Freeman, H.
Newland L.
Hardin, M.
Healy, J.
Hulipas, E.
Hutchinson, K.
Jaccard, J.
Dodge, T.
Jocano, F.
Jocano, F.
Lezin, N.
Rolleri, L.
Bean, S.
Taylor, J.
Lenciauskiene, I.
Zaborskis, A. 
Longmore, M.
Lotivio, Z.
Marquez, M.
Marquez, M.
Galban, M.
Masche, G.
McLanahan, S.
Seltzer, J.
Hanson, T.
Thomson, E.
Medina, T.
Miller, B.
Moore, K.
Mueller, K.
Powers, W.
Natividad, J.
Marquez, M.
Papini, D.
Roggman, L.
Anderson, J.
Quieta, R. 
Raymundo, C.
Cruz, G.
Rubin, K.
Chung, O.
Simpson, A.
Urbano-Batangan, M.
UNICEF
UNAIDS
World Health Organization
Whitaker, D.
Miller, K.
Xenos, P.
Raymundo, C.
Berja, C.
Agence-France-Presse
Agnew, J.
Alburo, F.
Abella, D.
Anonuevo,  A. T.
Anonuevo,  A.T.
Estopace, D.
Anonuevo,  A. T.
Araji, S. K.
Arif, G. M.
Iran, M.
Asian Migrant
Asis, M. M. B.
Asis, M. M. B.
Asis, M. M. B.
Asis, M. M. B.
Asis, M. M. B.
Bacol, M. M.
Bacol, M. M.
Bangko Sentral ng Pilipinas
Bangko Sentral ng Pilipinas
Bangko Sentral ng Pilipinas
Bangko Sentral ng Pilipinas
Bangko Sentral ng Pilipinas
Bartolome, C. D.
Beck, S. H.
Becker, G. S.
Becker, G. S.
Bengco, R.
Bielby, W. T.
Bleu, P. M.
Duncan, O. D.
Bogue, D.
Borjos, G. J.
Bourdieu, P.
Bourgeault, I. L.
Neiterman, E.
LeBrun, J.
Viers, K.
Winkup, J.
Brinkerhoff, D. B.
White, L. K.
Ortega, S. T.
Cabigon, J.
Calhoun, C.
Light, D.
Keller, S.
Carino, B. V.
Castles, S.
Miller, M. J.
Chiswick, B. R.
Lee, Y. L.
Miller, P.
Co, C. Y.
Coe, N. M.
Kelly, P. F.
Young, H. W. C.
Commission on Filipinos Overseas
Commission on Filipinos Overseas
Commission on Filipinos Overseas
Commission on Filipinos Overseas
Commission on Filipinos Overseas
Commission on Filipinos Overseas
Commission on Filipinos Overseas
Commission on Filipinos Overseas
Commission on Filipinos Overseas
Commission on Higher Education
Costello, M. P.
Cruz, V. P.
Davila. K.
De Jong, G. F.
Fawcett, J. T.
De Jong, G. F.
Legazpi-Blair, M. C.
De Guzman, A. F.
De Guzman, E. A.
Department of Labor and Employment
Dex, S., Ward, K.
Joshi, H.
Dizon-Anonuevo, E.
Dizon-Anonuevo, E.
Djamba, Y. K.
Goldstein, S. 
Goldstein, A.
Docduier, F.
Ropoporl, H.
Ducones, G.
Abello, M.
Duncan, OD. 
Duncan, O. D.
Hodge, R. W.
Episcopal Commission for The Pastoral Care of Migrants and Itinerant People
Scolobrini Center for People on the Move
Edmonston, B.
Micholowski, M.
Evioto, E.U. 
Featherman, D. L. 
Houser, R. M.
Featherman, D. L. 
Hauser. R. M.
Fernandez, N. G.
Ganzeboom, H. B. G.
De Graaf, P.
Treiman, D. J.
Ganzeboom, H.B.G. 
Treiman, D. J. 
Ganzeboom, H. B. G.
Ganzeboom, H. B. G.
Ganzeboom, H.B.G.
Go, S. P.
Gocatek, C. Z.
Goldthorpe, J.H.
Hope, K.
Greenstein, T.
Grusky, D. D. 
Hall, E.
Haup, T. A.
Kane, T. T.
Haub, C.
Hauser, R.M. 
Warren, J.R.
Hoff, D. M. 
Hiponia, V. L.
Hodge, R. W.
Horan, P. M. 
Hugo, G.
Hunter, L. C.
Reid, G. L.
Institute for Migration and Development Issues
International Labour Organization
International Labour Organization
International Lobour Organization
International Lobour Organization
International Labour Organization
International Lcbour Organization
International Organization for Migration
Scalabrini Migration Center
Jacobs, J.
Kannapan, S.
Kelly, P.
Astorga-Garcia, M.
Esguerra, E.F.
Community Alliance for Social Justice, Toronto
Kelly, P.
Park, S. De Leon, C.
Priest, J.
Khondker, S. R. 
Kim, D.Y. 
Kulkorni, V. S.
Krueger, R. A.
Lone, A. V.
Lane, B.
Lauby, J. 
Stork, O.
Lovores, O.
Lee, E. S.
Lieberson, S. 
Fuguilt, G. V. 
Lin, G.
Christiadi, C.
Long, J.
Ferrie, J.
Lorenzo, F. M. E.
Galvez-Ton, J.
Icomino, K.
Javier, L.
Malkin, M.
Mangahos, M. A. A.
Mangahas, M. A. A.
Mangahas, M. A. A.
Massey, D. B. 
Massey, D. S.
Massey, D. S.
Arongo, J.
Hugo, G.
Kouaouci, A.
Pellegrino, A., 
Taylor, J. E.
Madras, J.
Matteo, A.
Neagu, L. C.
Camden, C.
Mayor, R.
McBrier, D. B.
Wilson, G.
Medeniflo, S.
Meruerias, M. 
National Statistical Coordination Board
National Statistical Coordination Board
National Statistical Coordination Board
National Statistics Office
National Statistics Office
National Statistics Office
National Statistics Office
National Statistics Office
Nguyen, L.
OFW Guide
Ogena, N. B.
Ogena, N. B.
De Jong, G. F.
Orara, S.
Poez, R. D.
Palma-Beltran, R.
Parnes, H. 
Perez, A. E. 
Feranil, I. Z. 
Pessar, P. R.
Mahler, S. J.
Philippine Overseas Employment Administration 
Philippine Overseas Employment Administration
Philippine Overseas Employment Administration
Philippine Overseos Employment Administrotion
Portes, A. L.
Powers, M. G.
Seltzer, W.
Pratt, G.
Pratt, G.
Rasul, A. D.
Ravenstein, E. G.
Reskin, B. F.
Retherford, R. D. 
Choe, M. J.
Robinson, K.
Rodriguez, E. R.
Rosenfield, R. A.
Samonte, E. L.
Sorausod, M. R.
Scalabrini Migration Center
Scalabrini Migration Center
Shah, C.
Sharma, M.
Silvey, R.
Sittitrai, W.
Brown, T.
Corbollo, M.
Caraél, M.
Sjaastad, A. H. 
Smits, J.
Ulfee, W.
Lammers, J. 
Soriano, M.
Stark, O.
Thadani, V. N. 
Todaro, M. P.
The University of Hawaii's Office of Multicultural Student Services
Tigno, J. V. 
Tigno, J. V.
Treimon, D. J. 
Tsoo, C. 
Tyner, J.
Donaldson, D.
University of the Philippines,
Friends of Filipino Migrant Workers, Inc.
Wenk, D.
Garrett, P.
Wilson, G.
Wong, R. S. 
Hauser, R. M.
Yukawa, J. 
Zelinski, W. 
Abdalla
Shaheen
Bietsch
Brass, W.
Cabigon, J.
Cabigon, J.
Cabigon, J.
Flieger, W.
Coale, A. J.
Demeny, P. 
Coale, A. J.
Demeny, P. 
Collado, P. 
Costelo, M.
Courbage, Y.
Fargues, P. 
Cruz, G.
Abellera, C 
Cruz, G.
Cruz, C. P.
Kabamalan, M.
Ericta C.
Espinoza, M.
Health Metrics Network
Hill, K.
Hill, K.
Hufana, L
Kupu, S.
Moulrie, R. A.
Dorrington, R. E.
Hill, A. G.,
Hill, K.,
Timaeus, I. 
Zaba, B. 
National Statistical Coordination Board
National Census and Statistics Office 
National Statistics Office Philippines
Macro International Inc.
National Statistics Office 
National Statistics Office 
National Statistics Office 
National Statistics Office 
National Statistics Office 
National Statistics Office 
National Statistics Office 
Philippine Health Information Network
Philippine Statistics Authority
ICE International
Preston, S. H., 
Coale, A. J.
Trussell, T. J.
Weinstein, M.
Shryock, H. S.
Siegel, J. S
Siegel, J. S.
Washington, D. 
UNICEF
World Health Organization
The World Bank
UN Population Division
UNESCAP
World Health Organization
Department of Health
Philippine Statistics Authority
Canadian Department of Foreign Affairs, Trade and Development
UN Population Division
United Nations
United Nations
United Nations
World Health Organization 
Asian Development Bank
Baguinon, N.
Casas, E.V.
Balisacan, A.M.
Hill, H.
Bersamin, M.
Todd, M.
Remer, L.
Brownstein, J.
Cassa, C.
Kohane, I.
K. Mandl
Buckley, R.
Gahegan,  M.
K. Clarke
Burgert, C. R.
Colston,  J.
Roy, T.
Zachary, B.
Coale, A.
Curran, S.
Entswisle, B.
Evans, T.
Rindfuss, R.
Walsh. S.J.
Health Policy Development and Planning Bureau
Department of Health
Herrin, A.
Jones, G.
Lakew, Y.
Reda, A.V.
Tamene, H.
Benedict, S.
Deribe, K.
Lamberte, E.
Lee, N.
Garganian, D.
Kantner, A.
Leonardo, L.
Marcelo, A.
Solon, J. A.
Villasper, J.
National Epidemiology Center
National Epidemiology Center
Orbeta, A.
Orbeta, A.
Paringgit E.
Santillian, J.
Makinano, M.
Philippine Statistics Authority
ICE Macro
Philippine Statistics Authority
ICE International
Philippine Statistics Authority
Pickle L.
Waller, L.
Lawson, A. 
Prata, N.
Richards, T.
Croner, C.
Rushton, G.
Brown, C.
Fowler, L.
Robey, B.
Rutstein, S.
Morris, L. 
Sherman, J.
Fetters, T.
Sileo, K. M. 
Tanskanen, A.
Nillos, L.
Lehtinen, A.
Nohynek, H.
Sanvictores, D.
Simoes, E.
Tallo, V.
Lucero, M. 
Wang, W. S.
Pullum, T.
Ametepi, P. 
Wang, W. S.
Winner, M.
Burger, C.
Colston, V.
Acuin, C. S.
Bais, A. C.
Javellana, J.
Barzaga, D. J.
Allan Guttmacher Institute
Ashford, L.
Asian Development Bank
Baltazar, J. C.
Sanile, O. P.
Bulatao, R. A.
Ross, J. A.
Cabigon, J.
Carlough, M. 
Chakraborty, N.
Islam, M. A.
Chowdury, R. I.
Bari, W.
Akhter, H. H. 
Cham, M.
Sundby, J.
Vangen, S. 
Chowdury, R. I.
Islam, M. A.
Halida, H. A.
Nital, C.
Collymore, Y.
Creel, L. C.
Perry, R. J.
Department of Health
DHS+ Dimensions
Faghihzadeh, S.
Rochee, B. G.
Lmyian, M.
Mansourian, F.
Rezasoltani, P.
Fathalla, M.
Freedman, L. P.
Maine, D.
Henderson, J. W.
International Family Planning Perspectives
International Family Planning Perspectives
Jhpiego
Jimeno, J. A.
Katoanga, S. F.
Kost, K.
Landry, D. J.
Darroch, J. E.
Kusiako, T.
Carine, R.
van der Paal, L.
Lawn, J. E.
Cousens, S.
Zupan, J.
Locay, S.
Weeks
Loudon, I. 
Lule, E.
Ramana, G. N.
Ooman, N.
Epp, J.
Huntington, D.
Rosen, J. E. 
Mahler, H.
Maine, D.
Maine, D.
Chavkin, W.
Maine, D.
Rosenfield, A.
Maine, D.
Rosenfield, A.
McCarthy, J.
Maine, D.
McDonald, M. 
Monjaraz, C.
Myer, L.
Harrison, A. 
National Statistics Office
Department of Health
Macro International Inc.
National Statistics Office
ORC Macro
National Statistics Office
Macro International Inc.
National Statistics Office
Navaneetham, K.
Dharmalingam, A. 
Ngom, P
Okafor, C. B.
Rahna, R. K.
Oxaal, Z.
Baden, S. 
Papiernik, E.
Parker, L. N.
Gupta, G. R.
Kurz, K. M.
Merchant, K. M.
Perez, A. Y. Jr.
Perez, A. Y.
Perez, A. Y.
Population Commision
Population Reports
Prual, A. 
Pulley, L.
Rani, M.
Sekhar, B. 
Recidero, Z.
Reed, H. A.
Koblinsky, M. A.
Mosley, H. M.
Sable, M. R.
Wilkinson, D. S.
Safe Motherhood Fact Sheet
Safe Motherhood
Sahagun, G.
Sanders-Philippines
Davis, S. 
Santelli, J.
Rochat, R.
Hatfield-Timajchy, K.
Gilbert, C.
Curtis, K.
Cabral, R.
Hirsch, J. S.
Schieve, L.
Santos-Acuin, C.
Javellan, J.
Balis, A. C.
Barzaga, D.
Jensen, E.
Jose-Chabot, M.
Shiffman, I. 
Sloan, N. L.
Winikoff, B.
Fikree, F. F.
Singh, S.
Juarez, F.
Cabigon, J.
Ball, H.
Hussain, R.
Nadeau, J. 
Singh, S.
Cabigon, J.
Hossain, A.
Kamal, H.
Perez, A. E. 
Stewart, M. K.
Stanton, C. K.
Festin, M.
Jacobson, N. 
Tadiar, F. M.
Tan, M. L. 
Thaddeus, S.
Maine, D. 
Tinker, A.
Ransom, E.
UNICEF
World Health Organization
UNFPA
UNFPA
United Nation Millennium Task Force on Child Health and Maternal Health
Villaroman-Bautista, R. 
Walraven, G.
Weeks, A. 
Westley, S. B.
Kantner, A. 
World Health Organization
World Bank
World Bank
World Bank
World Health Organization
World Health Organization
World Health Organization
World Health Organization
World Health Organization
World Health Organization
World Health Organization
World Health Organization
Aldaba, F.
Lanzona, L.
Tamangan, R.
Arat, Z. 
Asia and the Pacific Programme of Educational innovation for Development
UNESCO
Becker, G.
Becker, G.
Lewis, H.
Bureau of Labor and Employment Statistics.
Cabezas, S.
Quiring, M.
Cabigon, J.
Dar, A.
Del Rosario, R.
Bonga, M.
Department of Education.
Department of Education.
Dostle, B.
Jayaraman, R.
Fafchamps, M.
Wahba, J.
Institute for Labor Studies.
International Labor Office
Khan, M.
King, E.
Lillard, L.
Le Roux, J.
Le, T.
Mangaran, R.
