Author
Siegel, J.
Schultz, P.
Taucher, E.
United Nations
United Nations Children's Fund. 
Venkatacharya, K.
Teklu, T.
Ware, H.
West, S.
White M.
Preston S.
Vogl, T.
Zaba B.
David P.
Zablan, Z.
Abalos, J.
Ahlburg, D.
Jensen E.
Perez, A.
An, C.
Haveman, R.
Wolfe, B.
Balk. D.
Raymundo, C.
Bane, M.
Ellwood, D.
Becker, G.
Bennett, N.
Bloom, D.
Miller, C.
Bongaarts, J.
Bumpass, L.
Lu, H.
Bulatao, R.
Card, J.
Wise, L.
Castillo, P.
Cabigon, I.
Hufana, L.
Casuga, J.
Cherlin, A. 
Furstenberg Jr., F.
Cherlin, A.
Crowder, K.
Teachman, J.
De Vaus, D.
Deal, L.
Holt, V.
Demographic Research and Development Foundation
University of the Philippines Population Institute
Demographic Research and Development Foundation, Inc.
Department of Health
Driscoll, A.
Hearn, G.
Evans, I.
Moore, K. 
Sugland, B.
Call, V.
Driscoll, A.
Elder, G., Jr.
Ermisch, I.
Pevalin, D.
Fergusson, D.
Woodward, L.
Ford, K.
Sohn, W.
Lepkowski, J.
Foster, E.
Jones, D.
Hoffman, S.
Garfinkel, I.
Garfinkel, I.
McLanahan, S.
Robins, P.
Gonzales, M.
Graefe, D.
Lichter, D.
Granau, R.
Hamilton, B.
Martin, J.
Ventura, S.
Sutton, P.
Menacker, F.
Hannah Cartwright for Global Justice Initiative.
Hardy, J.
Astone, N.
Brooks-Gunn, J.
Shapiro, S.
Miller, T.
Harris, B.
Rushton, W.
Kreyenfeld, M.
Lappegard, T.
Berghammer, C.
Keizer, R.
Haveman, R.
Wolfe, B.
Pence, K.
Henshaw, S.
Hobcraft, I. 
Kiernan, K.
Hofferth, S.
Reid, L.
Mott, F.
Hoffman, S.
Foster, E.
Furstenberg, F. Jr.
Hoffman, S.
Foster, E. 
Hoffman, S.D. 
Icao, A.
International Union for the Scientific Study of Population
Jones, I.
Mosher, W.
Daniels, K.
Kabamalan, M.
Williams, L.
Kabamalan, M.
Casterline, J. 
Kabamalan, M.
Villaver, M.
Kahn, J.
Anderson, K.
Kalil, A.
Kunz, I.
Ku, L.
Sonenstein, F.
Pleck, I. 
Lee, D.
Lichter, D.
Graefe, D.
Lichter, D.
Graefe, D.
Brown, J.
Lotivio, Z.
Luci, A.
Thevenon, O.
Macairan, E.
Manlove, J.
Terry, E.
Gitelson, L.
Papillo, A.
Russell, S.
Manlove, J.
Mincieli, L. 
Manlove J.
Terry-Human, E.
Ikramullah, E.
McLanahan, S.
Sandefur, G. 
McLanahan, S.
Medina, B.
Medina, B.
Miller, B.
Heaton, T.
Moore, K.
Iekielek, S.
Emig, C. 
National Statistics Office
National Statistics Office
Neal, S.
Matthews, Z.
Frost, M.
Fogstad, H.
Camacho, A.
Laski, L. 
Noar, S.
Zimmerman, R.
Atwood, K. 
Nock, S. 
Parungao, C.
Bautista, L.
Mariano, R.
Bonifacio, V.
Aguinaldo, M.
Pedroso, L.
Sasota, R.
Perelli-Harris, B.
Single-Rushton, W.
Kreyenfeld, M.
Lappegard, T.
Bergharnmer, C.
Keizer, R.
Philippine Statistics Authority
ICE International
Pogoy, M.
Verzosa, R.
Coming, N.
Agustin, G.
Raymundo, C.
Cruz, G.
Ribar, D.
Wilhelm, M.
Ribar, D.
Robins, P.
Fronstin, P.
Roempke-Graefe, D.
Lichter, D.
Roosa, M.
Tein, J.
Reinholtz, C.
Angelini, P.
Rosenzweig, M. 
Rueda-Acosta, P.
Russell, J.
Sandfort, J.
Hill, M.
Shapiro, D.
Sheeran, P.
Abraham, C.
Orbell, S.
Smock, P.
South, S.
South, S.
Terry-Humen, E.
Marlove, I.
Moore, K.
Thornberry, T.
Smith, C.
Howard, G.
Tsai, W.
Liu, J.
Hockenberry, J.
United Nations Population Fund
United States Department of Health and Human Services
Upchurch, D.
Lillard, L.
Panis, C.
Uy, J.
Van de Kaa, D.
Varga, C.
Zosa-Feranil, I.
Ventura, S.
Martin, I.
Curtain, S.
Mathews, T.
World Health Organization
World Health Organization
Wu, L.
Wu, L.
Cherlin, A,
Bumpass, L.
Zablan, Z.
Zavodny, M.
Achalu, O.
Duncan, D.
Ackard, D. M.
Andrews, J. 
Bahr, S.
Marcos, A.
Maughan, S.
Barnes, G.
Baumrind, D. 
Baumrind, D.
Baumrind, D.
Biglan, A.
Blane, H.
Blume, S.
Cabigon, J. 
Chassin, L.
Fora D.
King, K. 
Cheal, D.
Choe, M.
Raymundo, C.
Choe, M.
Raymundo, C.
Clark, W.
Cohen, D.
Rice, J.
Cohen, D.
Cohen, D.
Coleman, J.
Connell C.
Gilreath T.
Hansen, N.
Domingo, L.
Marquez, M.
Cruz, G.
Laguna, E.
Raymundo, C.
Domingo, L.
Devore, E.
De Vries, H.
Engels, R.
Kremers, S.
Wetzels, J.
Mudde, A.
Domingo, L.
Marquez, M.
Dowdell E.
Posner, M.
Hutchinson, M.
DRDF
DuRant R.
Smith J.
Kreiter S.
Krowchuk, D.
Ellickson, P.
Tucker, J.
Klein, D.
Engels, R.
Knibbe, R.
De Vries, H.
Drop, M.
Van Breukelen, G.
Engels, R.
Escobedo, R.
Reddy, M.
DuRant, R. 
Faeh, D.
Viswanathan, B.
Chiolero, A.
Warren, W.
Bovet, P. 
Foxcroft, D.
Lowe, G.
Foxcroft, D.
Ireland, D.
Lister-Sharp, D.
Lowe, G.
Ginsburg, K.
Durbin, D.
Garcia-EspaNa, J.
Kalicka, E.
Winston, F.
Greaves, L.
Hawkins, J.
Hockhauser, M.
Hops, H. 
Hoque, M.
Jackson, C.
Sweeting, H.
Haw, S.
Jackson, C.
Kandel, D.
Kandel, D.
Kandel, D.
Kipping, R.
Campbell, R.
MacArthur, G.
Gunnell, D.
Hickman, M.
Knight, J.
Roberts, T.
Gabrielli, J.
Kosterman, R.
Hawkins, J.
Spoth, R.
Haggerty, K. 
Zhu, K.
Kumpfer, K.
Lapp, J.
Maccoby, E.
Martin, J. 
Mermelstein, R.
Merrill, J.
Fox, K., Lewis, S.
Pulver, G.
Mills, K.
Myers H.
Newcomb, M.
Richardson M.
Alvy K.
Parameswaran, E.
Parfrey, P.
Piko, B.
Balézs, M.
Simons, R.
Conger, R.
Whitbeck, L.
Ricciardelli, L.
Connor, J.
Williams, R.
Young, R.
Roche K.
Rogers, D.
Russo, G.
Domingo, L.
Kabamalan, M.
Sales, J.
Irwin, C. Jr.
Sen, B.
Steinberg, L.
Straus, R.
Bacon, S.
Tan, A.
Tan, A.
Torabi, M.
Bailey, W.
Majd-Jabbari, M.
Tyas, S.
Van der Vorst, H.
Velleman, R.
Templeton, L.
Copello, A.
Vogel, J.
Hurford, D.
Smith, J.
Cole, A.
Wada, K.
White, H.
Huselid, R.
Windham, G.
Aldridge, N.
World Health Organization
World Health Organization
Agonia, B.
Niduaza, K.
Aguilar, K.
Balk, D.
Raymundo, C.
Berja B.
Kabamalan, M.
Berja B.
Ogena, N.
Birsen, G.
Breheny, M.
Stephens, C.
Bulatao, R.
Casterline, J.
Buston, K.
Cabigon, J.
Campbell, A.
Cardoso, A.
Verier, D.
Casterline, J.
Chalem, E.
Chedraui, P.
Cherlin, A. J.
Chilman, C.
Commission on Population.
Cordova, J.
Cruz, G.
Laguna, E.
Raymundo, C.
Davis, K.
Blake, J.
De Guzman, E.
Diaz, G.
DeJong
Diaz, G.
Donaldson, L.
Duremdes, S.
Ebeigbe, P.
Gharoro, E.
Fazio, R.
Fessler, K.
Furstenberg, F. Jr.
Glover, J.
Grant, M.
Hallman, K.
Gupta, N.
Hofferth, S.
House, W.
Ibrahim, N. 
Hudson, F.
Hurlock, E.
Islam, M.
Juarez, F.
Kabamalan, M
Kabamalan, M.
Kim, M.
Kirby, D.
Lee, M.
Lucas, D.
Meyer, P.
Macionis, J. J.
Marquez, M.
Galban, N.
Minh, N.
National Campaign to Prevent Teenage Pregnancy.
Natividad, J.
Marquez, M. 
National Statistics Office
ORC Macro.
Nogra, M.
Ogena, N. B.
Ono, H.
Panaligan, A. C.
Panopio, I. S.
Perral, D. A.
Sesbreno, S.
Raymundo, C.
Raymundo, C.
Cruz, G.
Robbins, C.
Kaplan, H.
Martin, S.
Rubin, Z.
Ryan
Silao, N. I.
Singh S.
The Alan Guttmacher Institute.
Terry-Humen, E.
Uecker, J. E.
Upadhyay, U.
Williams, L.
Kabamalan, M.
Ogena, N.
Wolfinger, N.
