authors,cited by
"Downey, D.","Agustin, S."
"Neubauer, S. ","Agustin, S."
"Downey, D.","Agustin, S."
"Powell, B.","Agustin, S."
"Steelman, C.","Agustin, S."
"Pribesh, S. ","Agustin, S."
"Dumont, A.","Agustin, S."
"Duncan, O.","Agustin, S."
"Featherman, D.","Agustin, S."
"Duncan, B.","Agustin, S."
"Eckstein, Z.","Agustin, S."
"Wolpin, K.","Agustin, S."
"Ekstrom, R.","Agustin, S."
"Goertz, M.","Agustin, S."
"Pollack, J.","Agustin, S."
"Rock, D.","Agustin, S."
"Elliott, D.","Agustin, S."
"Voss, H.","Agustin, S."
"Ensminger, M.","Agustin, S."
"Slusarcick, A. ","Agustin, S."
"Ernst, C.","Agustin, S."
"Angst, J.","Agustin, S."
"Featherman, D.","Agustin, S."
"Hauser, R. ","Agustin, S."
"Fitzpatrick, K.","Agustin, S."
Yoels W.,"Agustin, S."
"Flores-Gonzalez, N. ","Agustin, S."
"Frase, M. ","Agustin, S."
"Furstenberg, F. Jr.","Agustin, S."
"Galbraith, R.","Agustin, S."
"Galton, F. ","Agustin, S."
"Garfinkel, I.","Agustin, S."
"McLanahan, S.","Agustin, S."
"Gibson, M. ","Agustin, S."
"Gleason, P.","Agustin, S."
"Dynarski, M.","Agustin, S."
"Glewwe, P.","Agustin, S."
"Jacoby, H.","Agustin, S."
"King, E.","Agustin, S."
"Green, R.","Agustin, S."
"Griffin, B. ","Agustin, S."
"Grotevant, H.","Agustin, S."
"Scarr, S.","Agustin, S."
"Weinberg, R.","Agustin, S."
"Guo, G.","Agustin, S."
"VanWey, L.","Agustin, S."
"Guo, G.","Agustin, S."
"VanWey, L.","Agustin, S."
"Guthrie, G.","Agustin, S."
"Tayag, A.","Agustin, S."
"Jimenez, J.","Agustin, S."
"Harding, D. ","Agustin, S."
"Harrell, J.","Agustin, S."
"Bangdiwala, S.","Agustin, S."
"Webb, J.","Agustin, S."
"Radley, C.","Agustin, S."
"Hauser, R. ","Agustin, S."
"Hauser, R.","Agustin, S."
"Phang, H. ","Agustin, S."
"Hauser, R.","Agustin, S."
"ewell, W. ","Agustin, S."
"Haveman, R.","Agustin, S."
"Wolfe, B.","Agustin, S."
"Haveman, R.","Agustin, S."
"Wolfe, B.","Agustin, S."
"Spaulding, J. ","Agustin, S."
"Heer, D. ","Agustin, S."
"Heer, D. ","Agustin, S."
"Herrin, A. ","Agustin, S."
"Higgins, J.","Agustin, S."
"Reed, E.","Agustin, S."
"Reed, S. ","Agustin, S."
"Hill, M.","Agustin, S."
"Duncan, G. ","Agustin, S."
"Hondo, C.","Agustin, S."
"Hsueh, C.","Agustin, S."
Institut National d'Etudes Demographiques,"Agustin, S."
"Janosz, M.","Agustin, S."
"LeBlanc, M.","Agustin, S."
"Boulerice, B.","Agustin, S."
"Tremblay, R.","Agustin, S."
"Jencks, C.","Agustin, S."
"Smith, M.","Agustin, S."
"Acland, H.","Agustin, S."
"Bane, M.","Agustin, S."
"Cohen, D.","Agustin, S."
"Gintis, H.","Agustin, S."
"Heyns, B.","Agustin, S."
"Michelson, S. ","Agustin, S."
"Jencks, C.","Agustin, S."
"Crouse, J.","Agustin, S."
"Meuser, P. ","Agustin, S."
"Jensen, A. ","Agustin, S."
Jimerson. S.,"Agustin, S."
"Anderson, O.","Agustin, S."
"Whipple, A. ","Agustin, S."
"Kagaruki-Kakoti, G. ","Agustin, S."
"Kalmijn, M. ","Agustin, S."
"Keister, L.","Agustin, S."
"Kennett, K.","Agustin, S."
"Cropley, A.","Agustin, S."
"Kidwell, J. ","Agustin, S."
"King, E.","Agustin, S."
"Lillard, L.","Agustin, S."
"Koch, S.","Agustin, S."
"McGeary, K.","Agustin, S."
"Kreitzer, A.","Agustin, S."
"Madaus, G.","Agustin, S."
Haney. W. ,"Agustin, S."
"Kuo, H.","Agustin, S."
"Hauser, R. ","Agustin, S."
"Lecha, M. ","Agustin, S."
"Lee, V.","Agustin, S."
"Burkam, D. ","Agustin, S."
"Mahoney, J.","Agustin, S."
"Cairns, B. ","Agustin, S."
"Mare, R.D.","Agustin, S."
"Marjoribanks, K.","Agustin, S."
"Marjoribanks, K.","Agustin, S."
"McCall, H.","Agustin, S."
"McLanahan, S.","Agustin, S."
"McLanahan, S.","Agustin, S."
"Sandefur, G. ","Agustin, S."
"McNeal, R. Jr.","Agustin, S."
"McNeal, R. Jr.","Agustin, S."
"Menzel, L.","Agustin, S."
"Mercy, J.","Agustin, S."
"Steelman, L. ","Agustin, S."
"Mobley, W.","Agustin, S."
National Center for Educational Statistics,"Agustin, S."
National Economic Development Authority,"Agustin, S."
"Olneck, M.","Agustin, S."
"Bills, D.","Agustin, S."
"Page, E.","Agustin, S."
"Grandon, G.","Agustin, S."
"Parcel, T.","Agustin, S."
"Menaghan, E.","Agustin, S."
"Paqueo, V.","Agustin, S."
"Parker, B.","Agustin, S."
"Phillips, M. ","Agustin, S."
"Pittman, R.","Agustin, S."
"Haughwout, P.","Agustin, S."
"Plomin, R.","Agustin, S."
"Defries, J. ","Agustin, S."
"Powell, B.","Agustin, S."
"Steelman, L.","Agustin, S."
"Powell, B.","Agustin, S."
"Steelman, L. ","Agustin, S."
"Powell, B.","Agustin, S."
"Steelman, L. ","Agustin, S."
"Powell, B.","Agustin, S."
"Steelman, L.","Agustin, S."
"Carini, B.","Agustin, S."
"Raley, R. ","Agustin, S."
"Randolph, K.","Agustin, S."
"Rose, R.","Agustin, S."
"Fraser, M.","Agustin, S."
"Orthner, D. ","Agustin, S."
"Retherford, R.","Agustin, S."
"Sewell, W. ","Agustin, S."
"Reynolds, A.","Agustin, S."
"Roderick, M. ","Agustin, S."
"Rodgers, J. ","Agustin, S."
"Rodgers, J.","Agustin, S."
"Rodgers, J.","Agustin, S."
"Cleveland, H.","Agustin, S."
"van den Oord, E.","Agustin, S."
"Rowe, D.","Agustin, S."
"Rosenbaum, J.","Agustin, S."
"Rosenbaum, J.","Agustin, S."
"Fishman, N.","Agustin, S."
"Brett, A.","Agustin, S."
"Meaden, P. ","Agustin, S."
"Rosenbaum, J.","Agustin, S."
"Popkin, S.","Agustin, S."
"Rubinowitz, L.","Agustin, S."
"Rosenbaum, J.","Agustin, S."
"Rumberger, R. ","Agustin, S."
"Rumberger, R.","Agustin, S."
"Saunders, J.","Agustin, S."
"Davis, L.","Agustin, S."
"Williams, T.","Agustin, S."
"Herbert, J. ","Agustin, S."
"Scanlon, D.","Agustin, S."
"Mellard, D. ","Agustin, S."
"Scarr, S.","Agustin, S."
"Weinberg, R.","Agustin, S."
"Schoenhals, M.","Agustin, S."
"Tienda, M.","Agustin, S."
"Schneider, B.","Agustin, S."
Scottish Council for Research in Education,"Agustin, S."
Mental Survey Committee,"Agustin, S."
"Seaman, D.","Agustin, S."
"Yoo, C.","Agustin, S."
"Seltzer, J. ","Agustin, S."
"Sewell, W.","Agustin, S."
"Hauser, R.","Agustin, S."
"Sewell, W.","Agustin, S."
"Hauser, R.","Agustin, S."
"Wolf, W.","Agustin, S."
"Shavit, Y.","Agustin, S."
"Pierce, J.","Agustin, S."
"Smock, P.","Agustin, S."
"Somers, C.","Agustin, S."
"Piliawsky, M.","Agustin, S."
"Steelman, L.","Agustin, S."
"Steelman, L.","Agustin, S."
"Mercy, J. ","Agustin, S."
"Steelman, L.","Agustin, S."
"Powell, B. ","Agustin, S."
"Steelman, L.","Agustin, S."
"Powell, B. ","Agustin, S."
"Steelman, L.","Agustin, S."
"Powell, B.","Agustin, S."
"Werun, R.","Agustin, S."
"Carter, S. ","Agustin, S."
"Steinberg, L.","Agustin, S."
"Blinds, P.","Agustin, S."
"Chan, K.","Agustin, S."
"Tabachnick, B.","Agustin, S."
"Fidell, L.","Agustin, S."
"Taubman, P.","Agustin, S."
"Behrman, J. ","Agustin, S."
"Teachman, J. ","Agustin, S."
"The National Committee on Education For All, Philippines","Agustin, S."
"Thornberry, T.","Agustin, S."
"Krohn, M.","Agustin, S."
"Lizotte, A.","Agustin, S."
"Smith, C.","Agustin, S."
"Tobin, K.","Agustin, S."
"Tidwell, T. ","Agustin, S."
"Tienda, M.","Agustin, S."
"Ahituv, A.","Agustin, S."
"Valenzuela, A.","Agustin, S."
"Dornbusch, S. ","Agustin, S."
"Wehlage, G.","Agustin, S."
"Rutter, R. ","Agustin, S."
"Weis, L.","Agustin, S."
"Farrar, E.","Agustin, S."
"Petrie, H.","Agustin, S."
"Weiss, R.","Agustin, S."
"Williams, J.","Agustin, S."
"Dunlop, L.","Agustin, S."
World Bank,"Agustin, S."
Yamano. T.,"Agustin, S."
"Jayne, T. ","Agustin, S."
"Zajonc, R. ","Agustin, S."
"Zajonc, R. ","Agustin, S."
"Zajonc, R.","Agustin, S."
"Markus, G.","Agustin, S."
"Zosa, A.","Agustin, S."
"Zosa, V.","Agustin, S."
"Gultiano, S.","Agustin, S."
"Cusi, D. ","Agustin, S."
"Agresti, A.","Alcantara, A."
"Finlay, B.","Alcantara, A."
"Ahmad, O.","Alcantara, A."
"Lopez, A.","Alcantara, A."
Inoue.,"Alcantara, A."
Alvarez G.,"Alcantara, A."
"Becker, S.","Alcantara, A."
Black R.,"Alcantara, A."
"Black, R.","Alcantara, A."
"Cabigon, J.","Alcantara, A."
"Cabigon, J.","Alcantara, A."
"Cabigon, J.","Alcantara, A."
Park C.,"Alcantara, A."
"Kantner, A.","Alcantara, A."
"Caldwell, J.","Alcantara, A."
"Caldwell, J","Alcantara, A."
"Caldwell, J.","Alcantara, A."
"McDonald, P.","Alcantara, A."
CDC on Vaccines and Children's Health.,"Alcantara, A."
"Costello, M.","Alcantara, A."
"Davanzo, J.","Alcantara, A."
Habicht J.,"Alcantara, A."
"Davanzo, J.","Alcantara, A."
"De Sweemer, C.","Alcantara, A."
"De Guzman, E.","Alcantara, A."
"Devlieger, H.","Alcantara, A."
"Martens, G.","Alcantara, A."
"Bekaert, A.","Alcantara, A."
