authors,cited by
"Hansen, N.","Arabit, C."
"Domingo, L.","Arabit, C."
"Marquez, M.","Arabit, C."
"Cruz, G.","Arabit, C."
"Laguna, E.","Arabit, C."
"Raymundo, C.","Arabit, C."
"Domingo, L.","Arabit, C."
"Devore, E.","Arabit, C."
"De Vries, H.","Arabit, C."
"Engels, R.","Arabit, C."
"Kremers, S.","Arabit, C."
"Wetzels, J.","Arabit, C."
"Mudde, A.","Arabit, C."
"Domingo, L.","Arabit, C."
"Marquez, M.","Arabit, C."
Dowdell E.,"Arabit, C."
"Posner, M.","Arabit, C."
"Hutchinson, M.","Arabit, C."
DRDF,"Arabit, C."
DuRant R.,"Arabit, C."
Smith J.,"Arabit, C."
Kreiter S.,"Arabit, C."
"Krowchuk, D.","Arabit, C."
"Ellickson, P.","Arabit, C."
"Tucker, J.","Arabit, C."
"Klein, D.","Arabit, C."
"Engels, R.","Arabit, C."
"Knibbe, R.","Arabit, C."
"De Vries, H.","Arabit, C."
"Drop, M.","Arabit, C."
"Van Breukelen, G.","Arabit, C."
"Engels, R.","Arabit, C."
"Escobedo, R.","Arabit, C."
"Reddy, M.","Arabit, C."
"DuRant, R. ","Arabit, C."
"Faeh, D.","Arabit, C."
"Viswanathan, B.","Arabit, C."
"Chiolero, A.","Arabit, C."
"Warren, W.","Arabit, C."
"Bovet, P. ","Arabit, C."
"Foxcroft, D.","Arabit, C."
"Lowe, G.","Arabit, C."
"Foxcroft, D.","Arabit, C."
"Ireland, D.","Arabit, C."
"Lister-Sharp, D.","Arabit, C."
"Lowe, G.","Arabit, C."
"Ginsburg, K.","Arabit, C."
"Durbin, D.","Arabit, C."
"Garcia-EspaNa, J.","Arabit, C."
"Kalicka, E.","Arabit, C."
"Winston, F.","Arabit, C."
"Greaves, L.","Arabit, C."
"Hawkins, J.","Arabit, C."
"Hockhauser, M.","Arabit, C."
"Hops, H. ","Arabit, C."
"Hoque, M.","Arabit, C."
"Jackson, C.","Arabit, C."
"Sweeting, H.","Arabit, C."
"Haw, S.","Arabit, C."
"Jackson, C.","Arabit, C."
"Kandel, D.","Arabit, C."
"Kandel, D.","Arabit, C."
"Kandel, D.","Arabit, C."
"Kipping, R.","Arabit, C."
"Campbell, R.","Arabit, C."
"MacArthur, G.","Arabit, C."
"Gunnell, D.","Arabit, C."
"Hickman, M.","Arabit, C."
"Knight, J.","Arabit, C."
"Roberts, T.","Arabit, C."
"Gabrielli, J.","Arabit, C."
"Kosterman, R.","Arabit, C."
"Hawkins, J.","Arabit, C."
"Spoth, R.","Arabit, C."
"Haggerty, K. ","Arabit, C."
"Zhu, K.","Arabit, C."
"Kumpfer, K.","Arabit, C."
"Lapp, J.","Arabit, C."
"Maccoby, E.","Arabit, C."
"Martin, J. ","Arabit, C."
"Mermelstein, R.","Arabit, C."
"Merrill, J.","Arabit, C."
"Fox, K., Lewis, S.","Arabit, C."
"Pulver, G.","Arabit, C."
"Mills, K.","Arabit, C."
Myers H.,"Arabit, C."
"Newcomb, M.","Arabit, C."
Richardson M.,"Arabit, C."
Alvy K.,"Arabit, C."
"Parameswaran, E.","Arabit, C."
"Parfrey, P.","Arabit, C."
"Piko, B.","Arabit, C."
"Balézs, M.","Arabit, C."
"Simons, R.","Arabit, C."
"Conger, R.","Arabit, C."
"Whitbeck, L.","Arabit, C."
"Ricciardelli, L.","Arabit, C."
"Connor, J.","Arabit, C."
"Williams, R.","Arabit, C."
"Young, R.","Arabit, C."
Roche K.,"Arabit, C."
"Rogers, D.","Arabit, C."
"Russo, G.","Arabit, C."
"Domingo, L.","Arabit, C."
"Kabamalan, M.","Arabit, C."
"Sales, J.","Arabit, C."
"Irwin, C. Jr.","Arabit, C."
"Sen, B.","Arabit, C."
"Steinberg, L.","Arabit, C."
"Straus, R.","Arabit, C."
"Bacon, S.","Arabit, C."
"Tan, A.","Arabit, C."
"Tan, A.","Arabit, C."
"Torabi, M.","Arabit, C."
"Bailey, W.","Arabit, C."
"Majd-Jabbari, M.","Arabit, C."
"Tyas, S.","Arabit, C."
"Van der Vorst, H.","Arabit, C."
"Velleman, R.","Arabit, C."
"Templeton, L.","Arabit, C."
"Copello, A.","Arabit, C."
"Vogel, J.","Arabit, C."
"Hurford, D.","Arabit, C."
"Smith, J.","Arabit, C."
"Cole, A.","Arabit, C."
"Wada, K.","Arabit, C."
"White, H.","Arabit, C."
"Huselid, R.","Arabit, C."
"Windham, G.","Arabit, C."
"Aldridge, N.","Arabit, C."
World Health Organization,"Arabit, C."
World Health Organization,"Arabit, C."
"Agonia, B.","Arellano, M."
"Niduaza, K.","Arellano, M."
"Aguilar, K.","Arellano, M."
"Balk, D.","Arellano, M."
"Raymundo, C.","Arellano, M."
Berja B.,"Arellano, M."
"Kabamalan, M.","Arellano, M."
Berja B.,"Arellano, M."
"Ogena, N.","Arellano, M."
"Birsen, G.","Arellano, M."
"Breheny, M.","Arellano, M."
"Stephens, C.","Arellano, M."
"Bulatao, R.","Arellano, M."
"Casterline, J.","Arellano, M."
"Buston, K.","Arellano, M."
"Cabigon, J.","Arellano, M."
"Campbell, A.","Arellano, M."
"Cardoso, A.","Arellano, M."
"Verier, D.","Arellano, M."
"Casterline, J.","Arellano, M."
"Chalem, E.","Arellano, M."
"Chedraui, P.","Arellano, M."
"Cherlin, A. J.","Arellano, M."
"Chilman, C.","Arellano, M."
Commission on Population.,"Arellano, M."
"Cordova, J.","Arellano, M."
"Cruz, G.","Arellano, M."
"Laguna, E.","Arellano, M."
"Raymundo, C.","Arellano, M."
"Davis, K.","Arellano, M."
"Blake, J.","Arellano, M."
"De Guzman, E.","Arellano, M."
"Diaz, G.","Arellano, M."
DeJong,"Arellano, M."
"Diaz, G.","Arellano, M."
"Donaldson, L.","Arellano, M."
"Duremdes, S.","Arellano, M."
"Ebeigbe, P.","Arellano, M."
"Gharoro, E.","Arellano, M."
"Fazio, R.","Arellano, M."
"Fessler, K.","Arellano, M."
"Furstenberg, F. Jr.","Arellano, M."
"Glover, J.","Arellano, M."
"Grant, M.","Arellano, M."
"Hallman, K.","Arellano, M."
"Gupta, N.","Arellano, M."
"Hofferth, S.","Arellano, M."
"House, W.","Arellano, M."
"Ibrahim, N. ","Arellano, M."
"Hudson, F.","Arellano, M."
"Hurlock, E.","Arellano, M."
"Islam, M.","Arellano, M."
"Juarez, F.","Arellano, M."
"Kabamalan, M","Arellano, M."
"Kabamalan, M. ","Arellano, M."
"Kim, M.","Arellano, M."
"Kirby, D.","Arellano, M."
"Lee, M.","Arellano, M."
"Lucas, D.","Arellano, M."
"Meyer, P.","Arellano, M."
"Macionis, J. J.","Arellano, M."
"Marquez, M.","Arellano, M."
"Galban, N.","Arellano, M."
"Minh, N.","Arellano, M."
National Campaign to Prevent Teenage Pregnancy.,"Arellano, M."
"Natividad, J.","Arellano, M."
"Marquez, M. ","Arellano, M."
National Statistics Office,"Arellano, M."
ORC Macro.,"Arellano, M."
"Nogra, M.","Arellano, M."
"Ogena, N. B.","Arellano, M."
"Ono, H.","Arellano, M."
"Panaligan, A. C.","Arellano, M."
"Panopio, I. S.","Arellano, M."
"Perral, D. A.","Arellano, M."
"Sesbreno, S.","Arellano, M."
"Raymundo, C. M.","Arellano, M."
"Raymundo, C. M.","Arellano, M."
"Cruz, G. T.","Arellano, M."
"Robbins, C.","Arellano, M."
"Kaplan, H.","Arellano, M."
"Martin, S.","Arellano, M."
"Rubin, Z.","Arellano, M."
Ryan,"Arellano, M."
"Silao, N. I.","Arellano, M."
Singh S.,"Arellano, M."
The Alan Guttmacher Institute.,"Arellano, M."
"Terry-Humen, E.","Arellano, M."
"Uecker, J. E.","Arellano, M."
"Upadhyay, U.","Arellano, M."
"Williams, L.","Arellano, M."
"abamalan, M.","Arellano, M."
"Ogena, N.","Arellano, M."
"Wolfinger, N.","Arellano, M."
"Xenos, P.","Arellano, M."
"Raymundo, C.","Arellano, M."
"Diaz, G.","Arellano, M."
"Abu-Habib, I.","Bhattarai, B."
"Aris, M.","Bhattarai, B."
"Hutt, M.","Bhattarai, B."
"Arthur, E. D.","Bhattarai, B."
"Power, O.P.W.","Bhattarai, B."
"Arthur, S.","Bhattarai, B."
"Zarb, G.","Bhattarai, B."
Asian Development Bank.,"Bhattarai, B."
"Baquer, A.","Bhattarai, B."
"Sharma, A.","Bhattarai, B."
"Barnes, C.","Bhattarai, B."
"Oliver, M.","Bhattarai, B."
"Barton, L.","Bhattarai, B."
"Barnes, C.","Bhattarai, B."
"Bartlett, S.","Bhattarai, B."
"Batavia, A.I.","Bhattarai, B."
"Bhanushali, K ","Bhattarai, B."
"Bond, G.R","Bhattarai, B."
"Dietzen, L.","Bhattarai, B."
"McGrew, J.","Bhattarai, B."
"Miller, L. ","Bhattarai, B."
"Bookman, A.","Bhattarai, B."
"Harrington, M.","Bhattarai, B."
"Pass, L.","Bhattarai, B."
"Reisner, E.","Bhattarai, B."
"Bowe, F.","Bhattarai, B."
"Brandt, E.N.","Bhattarai, B."
"Pope, A.M.","Bhattarai, B."
"Brault, M.W.","Bhattarai, B."
Bhutan Youth Development Fund,"Bhattarai, B."
"Brown, S.","Bhattarai, B."
"Butterworth, J.","Bhattarai, B."
"Gilmore, D.S.","Bhattarai, B."
"Kiernan, W.E.","Bhattarai, B."
"Schalock, R. ","Bhattarai, B."
China Disabled Persons Federation.,"Bhattarai, B."
"Cline, A.","Bhattarai, B."
"Dalen, M.","Bhattarai, B."
Ministry of Education.,"Bhattarai, B."
Drak-Tsho Vocational Training Centre for Disabled,"Bhattarai, B."
"Dunlop, D.D.","Bhattarai, B."
"Hughes, D.S.W.","Bhattarai, B."
"Mannheim, L. M.","Bhattarai, B."
"Elwan, A.","Bhattarai, B."
"Emiliani, P.L.","Bhattarai, B."
"Stephanidis, C.","Bhattarai, B."
ESCAP,"Bhattarai, B."
"Fallon, A.","Bhattarai, B."
"Fried, L. P.","Bhattarai, B."
"Guralnike, J. M.","Bhattarai, B."
"Fries, J.M.","Bhattarai, B."
"Singh, G.","Bhattarai, B."
"Morfeld, D.","Bhattarai, B."
"Hubert, H.B.","Bhattarai, B."
"Lone, N.E.","Bhattarai, B."
"Brown, B.W.","Bhattarai, B."
"Gallagher, H.","Bhattarai, B."
"Groce, N.E.","Bhattarai, B."
Gross National Happiness Commission,"Bhattarai, B."
"Guralnik, J,M.","Bhattarai, B."
"Kaplan, G.A.","Bhattarai, B."
"Guralnik, J.M.","Bhattarai, B."
"LaCroix, A.Z.","Bhattarai, B."
"Abbott, R.D.","Bhattarai, B."
"Berkman, L.F.","Bhattarai, B."
"Satterfield, S.","Bhattarai, B."
"Evans, D.A.","Bhattarai, B."
"Wallace, R.B.","Bhattarai, B."
"Helander, E.","Bhattarai, B."
"Mendis, P.","Bhattarai, B."
"Nelson, G.","Bhattarai, B."
"Goerdt, A.","Bhattarai, B."
International Labor Organization,"Bhattarai, B."
"Kaye, H.S.","Bhattarai, B."
"Kroll, K.","Bhattarai, B."
"Klein, E.L.","Bhattarai, B."
Kuensel,"Bhattarai, B."
"Lapinsky, S. ","Bhattarai, B."
"Lawton, M. P.","Bhattarai, B."
"Brody, E.M.","Bhattarai, B."
"Leicester, L.","Bhattarai, B."
"Lovell, T.","Bhattarai, B."
"Lewis, C.","Bhattarai, B."
"Sygall, S.","Bhattarai, B."
"Loaiza, E.","Bhattarai, B."
"Cappa, C.","Bhattarai, B."
"Loprest, P.","Bhattarai, B."
"Maag, E.","Bhattarai, B."
"Madans, J.","Bhattarai, B."
"McDonnell, JJ.","Bhattarai, B."
Ministry of Health,"Bhattarai, B."
Ministry of Health,"Bhattarai, B."
"Mont, D.","Bhattarai, B."
The Multicultural Disability Advocacy Association,"Bhattarai, B."
"Nagi, S.Z.","Bhattarai, B."
"Nagi, S.Z.","Bhattarai, B."
"Nagi, S.Z.","Bhattarai, B."
National Statistics Bureau,"Bhattarai, B."
"National Statistics Office, Philippines","Bhattarai, B."
"Oliver, M.","Bhattarai, B."
"Paudel, S.","Bhattarai, B."
Population and Housing Census of Bhutan,"Bhattarai, B."
Royal Government of Bhutan,"Bhattarai, B."
Population and Housing Census of Bhutan ,"Bhattarai, B."
Royal Government of Bhutan ,"Bhattarai, B."
"RADAR Evidence, Employment Committee","Bhattarai, B."
"Schalock, R. L.","Bhattarai, B."
"Scheer, J.","Bhattarai, B."
"Groce, N.","Bhattarai, B."
"Stance, S.","Bhattarai, B."
"Swain, J.","Bhattarai, B."
"French, S.","Bhattarai, B."
"Cameron, C.","Bhattarai, B."
"Taylor, S. J.","Bhattarai, B."
United Nations.,"Bhattarai, B."
United Nations.,"Bhattarai, B."
United Nations Enable ,"Bhattarai, B."
"Verbrugge, L.M.","Bhattarai, B."
"Jette, A.M. ","Bhattarai, B."
"Waidmann, T.","Bhattarai, B."
"Freedman, V. A.","Bhattarai, B."
World Health Organization,"Bhattarai, B."
World Health Organization,"Bhattarai, B."
World Health Organization,"Bhattarai, B."
World Health Organization,"Bhattarai, B."
"Wiman, R.","Bhattarai, B."
World Bank,"Bhattarai, B."
"Agresti, A.","Borja, L."
"Barbara, F.","Borja, L."
"Angsioco, E.","Borja, L."
Arugaan ng Kalakasan.,"Borja, L."
Arugaan ng Kalakasan.,"Borja, L."
"Bates, L.","Borja, L."
"Bawah, A.","Borja, L."
"Biddlecom, A.","Borja, L."
"Casterline, J.","Borja, L."
"Perez, A.","Borja, L."
"Biddlecom, A.","Borja, L."
"Fapohunda, B.","Borja, L."
"Bongaarts, J.","Borja, L."
"Bongaarts, J.","Borja, L."
"Bruce, J.","Borja, L."
"Caragay, J.","Borja, L."
"Cayabyab, M.","Borja, L."
"Casterline, J.","Borja, L."
"Perez, A.","Borja, L."
"Biddlecom, A.","Borja, L."
"Casterline, J.","Borja, L."
"Sinding, S.","Borja, L."
"Casterline, J.","Borja, L."
"Clark, C.","Borja, L."
Commission on Population.,"Borja, L."
"Demographic Research and Development Foundation, Inc.","Borja, L."
"De Dios, A.","Borja, L."
"Dixon-Mueller, R.","Borja, L."
"Germain, A.","Borja, L."
"Dixon-Mueller, R.","Borja, L."
"Ellsberg, M.","Borja, L."
"Ellsberg, M.","Borja, L."
"Erulkar, A.","Borja, L."
"Ezeh, A.","Borja, L."
"Fanslow, J.","Borja, L."
"Garcia-Moreno, C.","Borja, L."
"Guerrero, S.","Borja, L."
"Sobritchea, C.","Borja, L."
"Guerrero, S.","Borja, L."
"Penano-Ho, L. ","Borja, L."
"Haile, A.","Borja, L."
"Enqueselassie, F.","Borja, L."
"Heise, L.","Borja, L."
"Hindin, M.","Borja, L."
"Adair, L.","Borja, L."
"Kishor, S.","Borja, L."
"Johnson, K.","Borja, L."
"Koenig, M.","Borja, L."
"Koenig, M.","Borja, L."
"Lasee, A.","Borja, L."
"Becker, S. ","Borja, L."
"Mahmoud, N.","Borja, L."
"Ringheim, K.","Borja, L."
National Statistics Office,"Borja, L."
Macro International Inc.,"Borja, L."
National Statistics Office,"Borja, L."
ICE Macro.,"Borja, L."
"Nortman, D.","Borja, L."
"Pallito, C.","Borja, L."
"Ocampo, P.","Borja, L."
"Parish, W.","Borja, L."
"Pedroso, L.","Borja, L."
Philippine Commission on Women. ,"Borja, L."
"Reddy, P.","Borja, L."
"Sambisa, W.","Borja, L."
"Schuler, S.","Borja, L."
"Islam, F.","Borja, L."
Sing S.,"Borja, L."
"Stephenson, R.","Borja, L."
"Stephenson, R.","Borja, L."
United Nations Development Fund for Women.,"Borja, L."
"Walker, L.","Borja, L."
"Watts, C.","Borja, L."
"Mayhew, S.","Borja, L."
"Weston, C.","Borja, L."
"Weston, C.","Borja, L."
"Pebley, A.","Borja, L."
"Weston, C.","Borja, L."
"Weston, C.","Borja, L."
"Weston, C.","Borja, L."
"Bankole, A.","Borja, L."
"Wolf, B.","Borja, L."
World Health Organization.,"Borja, L."
"Zablan, Z.","Borja, L."
"Yabut, B.","Borja, L."
"Acsadi, G.","Castillo, P."
"Johnson-Acsadi, G.","Castillo, P."
"Agresti, A.","Castillo, P."
"Arellano, M. K .","Castillo, P."
Bureau of Secondary Education,"Castillo, P."
"Castillo, G. T.","Castillo, P."
Center for Disease Control of the US,"Castillo, P."
"Condo-Agudelo, A.","Castillo, P."
"Beliza, J. M.","Castillo, P."
"Lammers, C.","Castillo, P."
"Cruz, C. ","Castillo, P."
"Cruz, G. T.","Castillo, P."
Department of Health,"Castillo, P."
The DHS Program,"Castillo, P."
Department of Education,"Castillo, P."
"Dickson, R.","Castillo, P."
"Fullerton, D.","Castillo, P."
Demographic Research and Development Foundation,"Castillo, P."
University of the Philippines Population Instiute.,"Castillo, P."
"Driscoll, A. ","Castillo, P."
"Elder, Glen H. Jr.","Castillo, P."
"Elder, Glen H. Jr.","Castillo, P."
"Ellis, B. J.","Castillo, P."
"Bates, J. E.","Castillo, P."
"Dodge, K. A.","Castillo, P."
"Fergusson, D. M.","Castillo, P."
"Horwood, L.J.","Castillo, P."
"Pettit, G. S.","Castillo, P."
"Woodward, L.","Castillo, P."
Encyclopedia Britannica,"Castillo, P."
"Fergusson, D. M.","Castillo, P."
"Horwood, L. J.","Castillo, P."
FOCUS on Young Adults,"Castillo, P."
"Gilchrist, L. D.","Castillo, P."
"Schinke, S. P.","Castillo, P."
"Forsyth, C. J.","Castillo, P."
"Palmer, C.E.","Castillo, P."
Handbook of Biological Statistics,"Castillo, P."
"Harrison, K. A.","Castillo, P."
"Rossiter, C. E.","Castillo, P."
"Chong, H.","Castillo, P."
"Heilborn, M. L.","Castillo, P."
"Brandaio, E. R.","Castillo, P."
"Cabral, C. D.","Castillo, P."
"Hoffman, S.D.","Castillo, P."
"Hogan, D.P. ","Castillo, P."
"Lawlor, D. A.","Castillo, P."
"Shaw, M. ","Castillo, P."
"Lee, D.","Castillo, P."
"Lotivio, Z. A.","Castillo, P."
"Marquez, M. P. N. ","Castillo, P."
"Marquez, M. P. N. ","Castillo, P."
"Mazur, L. A.","Castillo, P."
"Natividad, J. N. ","Castillo, P."
National Statistics Office,"Castillo, P."
Macro International Inc.,"Castillo, P."
National  Statistics Office,"Castillo, P."
Department of Health,"Castillo, P."
Macro International Inc.,"Castillo, P."
National  Statistics Office,"Castillo, P."
OCR Macro,"Castillo, P."
National  Statistics Office,"Castillo, P."
ICF Macro,"Castillo, P."
Neal. S.,"Castillo, P."
"Matthews, Z.","Castillo, P."
"Frost, M.","Castillo, P."
"Fogstad, H.","Castillo, P."
"Camacho, A.","Castillo, P."
"Laski, L. ","Castillo, P."
National Statistics Office,"Castillo, P."
"O`Grad, K.","Castillo, P."
Pedroso L. M.,"Castillo, P."
"Sasota, R. S. ","Castillo, P."
"Perez, A. A., III.","Castillo, P."
"Perez, A. E.","Castillo, P."
Philippine Country Guide,"Castillo, P."
Philippine Statistics Authority,"Castillo, P."
ICE International,"Castillo, P."
Philippine Statistics Authority,"Castillo, P."
"Punongbayan, J.C. ","Castillo, P."
"Pugh, M.","Castillo, P."
"De Maris, A.","Castillo, P."
"Giordano, P. C.,","Castillo, P."
"Groat, H. T.","Castillo, P."
"Remy, L. L.","Castillo, P."
"Clay, T.","Castillo, P."
"Oliva, G. ","Castillo, P."
"Rich-Edwards, J.","Castillo, P."
SPSS,"Castillo, P."
"Senderowitz, J.","Castillo, P."
"Paxman, J. M.","Castillo, P."
"Scally, G.","Castillo, P."
"Smith, S.","Castillo, P."
"Stuart, E.","Castillo, P."
"Suellentrop, K.","Castillo, P."
United Nations Population Fund,"Castillo, P."
United Nations Population Fund,"Castillo, P."
World Health Organization,"Castillo, P."
World Health Organization,"Castillo, P."
World Health Organization,"Castillo, P."
"Anderson, D. ","Cruz, C."
"Bongaarts, J. ","Cruz, C."
"Bongaarts, J.","Cruz, C."
"Potter, R. ","Cruz, C."
"Bongaarts, J.","Cruz, C."
"Bulatao, R.","Cruz, C."
"Casterline, J. ","Cruz, C."
"Bongaarts, J.","Cruz, C."
"Bongaarts, J.","Cruz, C."
"Watkins, S. ","Cruz, C."
"Brown, R.","Cruz, C."
"Norville, C. ","Cruz, C."
"Cabigon, J. ","Cruz, C."
"Cabigon, J. ","Cruz, C."
"Caldwell, J. ","Cruz, C."
"Casterline, J.","Cruz, C."
"Domingo, L.","Cruz, C."
"Zablan, Z. ","Cruz, C."
Central Bureau of Statistics,"Cruz, C."
Ministry of Health,"Cruz, C."
ORC Macro.,"Cruz, C."
"Cleland, J.","Cruz, C."
"Wilson, C. ","Cruz, C."
"Costello, M.","Cruz, C."
"Casterline, J.","Cruz, C."
"Davis, K.","Cruz, C."
"Blake, J. ","Cruz, C."
"De Guzman, E. ","Cruz, C."
"Engracia, L.","Cruz, C."
"Mejia-Raymundo, C.","Cruz, C."
"Casterline, J. ","Cruz, C."
"Dissanayake, L. ","Cruz, C."
"Easterlin, R.","Cruz, C."
"Engracia, L.","Cruz, C."
"Herrin, A. ","Cruz, C."
"Engracia, L.","Cruz, C."
"Mejia-Raymundo, C.","Cruz, C."
"Casterline, J. ","Cruz, C."
"Go, E.","Cruz, C."
"Palmore, J.","Cruz, C."
"Tabije, T.","Cruz, C."
"Reolalas, A. ","Cruz, C."
"Hajnal, J. ","Cruz, C."
"Herrin, A.","Cruz, C."
"Islam, N.","Cruz, C."
"Islam, M. ","Cruz, C."
"Jejeebhoy, S.","Cruz, C."
"Juarez, F.","Cruz, C."
"Kabamalan, M. ","Cruz, C."
"Kabamalan, M. ","Cruz, C."
"Laing, J. ","Cruz, C."
"LLoyd, C. ","Cruz, C."
"Luo, S.","Cruz, C."
"Maitra, P. ","Cruz, C."
National Statistics Office,"Cruz, C."
ORC Macro,"Cruz, C."
National Statistics Office,"Cruz, C."
Department of Health,"Cruz, C."
Macro International Inc. ,"Cruz, C."
National Statistics Office,"Cruz, C."
Macro International Inc. ,"Cruz, C."
"Natividad, J.","Cruz, C."
"Marquez, M. ","Cruz, C."
"Raymundo, C.","Cruz, C."
"Cruz, G.","Cruz, C."
"Notestein, F.","Cruz, C."
"Ogena, N.","Cruz, C."
"Reolalas, A.","Cruz, C."
"Ogena, N.","Cruz, C."
"Kabamalan, M. ","Cruz, C."
"Orbeta, A. ","Cruz, C."
"Peng, T. ","Cruz, C."
"Perez, A.","Cruz, C."
"Potter, J.","Cruz, C."
"Schmertmann, C.","Cruz, C."
"Cavenaghi, S.","Cruz, C."
"Pritchett, L. ","Cruz, C."
RAND Abstracts,"Cruz, C."
"Raymundo, C.","Cruz, C."
"Raymundo, C.","Cruz, C."
"Raymundo, C.","Cruz, C."
"Raymundo, C.","Cruz, C."
"Perez, A.","Cruz, C."
"Nazario, M.","Cruz, C."
"Mason, K.","Cruz, C."
"Raymundo, C.","Cruz, C."
"Raymundo, C.","Cruz, C."
"Cruz, G.","Cruz, C."
"Razzaque, A.","Cruz, C."
"Islam, M.","Cruz, C."
"Alam, N. ","Cruz, C."
"Rosenzweig, M. ","Cruz, C."
"Rossman, I. ","Cruz, C."
"Sasota, R.","Cruz, C."
"Sen, A.","Cruz, C."
"Sibanda, A.","Cruz, C."
Susheela S.,"Cruz, C."
"Sedgh, G. ","Cruz, C."
"Singh, S. ","Cruz, C."
"Stover, J. ","Cruz, C."
United Nations ,"Cruz, C."
"Zlidar, V.","Cruz, C."
"Gardner, R. ","Cruz, C."
Aliya H.,"Choda, J."
"Lubna, S.","Choda, J."
Andersen L. E.,"Choda, J."
"Anh, D.","Choda, J."
Australian Bureau of Statistics,"Choda, J."
"Banerjee, B.","Choda, J."
Balliqued J. M.,"Choda, J."
"Bell, M.","Choda, J."
"Salut, M.","Choda, J."
Bhutan Broadcasting Service Cooperation,"Choda, J."
Bhutan Today,"Choda, J."
Central Statistical Organization,"Choda, J."
Central Statistical Organization,"Choda, J."
"Chen, Y.","Choda, J."
"Jin, Zhe, G.","Choda, J."
"Yue, Y.","Choda, J."
"Conghe S,","Choda, J."
Jackson W. L.,"Choda, J."
"Liming, Z.","Choda, J."
"Xingfeng, X.","Choda, J."
"Connel, J.","Choda, J."
"Dasgupta, B.","Choda, J."
"Laishley, R.","Choda, J."
"Lipton, M.","Choda, J."
"De Haan, A.","Choda, J."
"Deshingkar, P.","Choda, J."
Grimm S.,"Choda, J."
"Deshingkar, P.","Choda, J."
"Dev, S. M.","Choda, J."
"Everson, R. E.","Choda, J."
"Diniz, A. M.","Choda, J."
"Santos, R. O.","Choda, J."
Economic and Social Commission for Asia and the Pacific,"Choda, J."
Essang S. M.,"Choda, J."
"Mabawonku, A. F.","Choda, J."
"Feldman, S.","Choda, J."
"Finley, S.","Choda, J."
"Gazdar, H.","Choda, J."
GHK/IIED.,"Choda, J."
"Grace, J. ","Choda, J."
Gross National Happiness Commission,"Choda, J."
"Guest, P.","Choda, J."
"Guest, P.","Choda, J."
"Guest, P.","Choda, J."
"Haque, S.","Choda, J."
"Hare, D.","Choda, J."
"Hill, P.","Choda, J."
"Hossain, M. Z.","Choda, J."
"Hugo, G. J.","Choda, J."
International Organization for Migration,"Choda, J."
International Organization for Migration.,"Choda, J."
"KC, B. K.","Choda, J."
Kuensel Corporation,"Choda, J."
"Kundu, A.","Choda, J."
"Lee, E. S.","Choda, J."
"Lewis, W. A.","Choda, J."
"Lipton, M.","Choda, J."
"Lucas, R. E.","Choda, J."
"Lusome, R.","Choda, J."
"Shagat, R. B.","Choda, J."
"Massey, D.","Choda, J."
"Arango, J.","Choda, J."
"Hugo, G.","Choda, J."
"Kouaouci, A.","Choda, J."
"Pellegrino, A.","Choda, J."
"Taylor, J. ","Choda, J."
"Mendola, M.","Choda, J."
"Mines, R.","Choda, J."
"de Janvry, A. ","Choda, J."
Ministry of Agriculture,"Choda, J."
"Nachmias, C. F.","Choda, J."
"Nachmias, D.","Choda, J."
National Statistics Bureau,"Choda, J."
National Statistics Bureau,"Choda, J."
National Statistics Bureau,"Choda, J."
Oberai A. S.,"Choda, J."
"Singh, H. K. (n.d.)","Choda, J."
Office of the Census Commissioner,"Choda, J."
Pagoso C. M.,"Choda, J."
"Montana, R. A. ","Choda, J."
"Ping, H.","Choda, J."
Planning Commission,"Choda, J."
"Rainer, H.","Choda, J."
"Siedler, T.","Choda, J."
"Ranis, G.","Choda, J."
"Fei, J. ","Choda, J."
"Ravenstein, E. G.","Choda, J."
"Rogaly, B.","Choda, J."
"Coppard, D.","Choda, J."
"Rafique, A.","Choda, J."
"Rana, K.","Choda, J."
"Sengupta, A.","Choda, J."
"Skeldon, R.","Choda, J."
"Rosenzwig, M.","Choda, J."
"Sekhar, T. V.","Choda, J."
Sherubtse College ,"Choda, J."
"Singelmann, J. ","Choda, J."
"Sjaastad, L. A.","Choda, J."
"Skeldon, R.","Choda, J."
"Srivastava, R.","Choda, J."
"Bhattacharyya, S.","Choda, J."
"Stark, O.","Choda, J."
"Stark, O.","Choda, J."
"Bloom, D.","Choda, J."
"Todaro, M. P.","Choda, J."
Trashigang Dzongkhag,"Choda, J."
United Nations.,"Choda, J."
"Waneschneider, T.","Choda, J."
"Mishra, P. ","Choda, J."
"Winters, P.","Choda, J."
"Janvry, A.","Choda, J."
"Sadaoulet, E.","Choda, J."
"Yao, Y.","Choda, J."
"Zhao, Y.","Choda, J."
"Zhao, Y.","Choda, J."
"Achenbum, W. A.","Cruz, G."
"Bengtson, V.","Cruz, G."
"Aljunid, S. M.","Cruz, G."
"Antonucci, T.","Cruz, G."
Baltes M. M,"Cruz, G."
"Carstensen, L. L","Cruz, G."
Baltes M. M.,"Cruz, G."
"Smith, J.","Cruz, G."
"Barendregt, J.","Cruz, G."
"Barendregt, J. J.","Cruz, G."
"Bonneux, L.","Cruz, G."
"Van der Maas, P.","Cruz, G."
Bengtson V. L. ,"Cruz, G."
"Shale, K. W.","Cruz, G."
"Birren , J.","Cruz, G."
"Schroots, J. ","Cruz, G."
Bone M. R.,"Cruz, G."
